domain,lang,chars,english,source_path,english_path
014-kuljetus.fi,fi,879,False,scraped/014-kuljetus.fi.txt,
020202.fi,fi,2656,False,scraped/020202.fi.txt,
07design.fi,blocked,51,False,scraped/07design.fi.txt,
100-ilmastointi.fi,fi,3536,False,scraped/100-ilmastointi.fi.txt,
1000lakesdistillery.com,fi,933,False,scraped/1000lakesdistillery.com.txt,
1001lakes.com,en,1766,True,scraped/1001lakes.com.txt,english_only/1001lakes.com.txt
100a-sport.fi,fi,71,False,scraped/100a-sport.fi.txt,
100sahko.fi,blocked,51,False,scraped/100sahko.fi.txt,
100solutions.fi,blocked,51,False,scraped/100solutions.fi.txt,
105dancecomplexkotka.com,fi,1160,False,scraped/105dancecomplexkotka.com.txt,
1080coaching.com,fi,3052,False,scraped/1080coaching.com.txt,
1090fishingmapp.com,en,1129,True,scraped/1090fishingmapp.com.txt,english_only/1090fishingmapp.com.txt
10h.com,en,1371,True,scraped/10h.com.txt,english_only/10h.com.txt
10hinaus.fi,blocked,51,False,scraped/10hinaus.fi.txt,
10sportsmarketinghub.com,en,8624,True,scraped/10sportsmarketinghub.com.txt,english_only/10sportsmarketinghub.com.txt
10tons.com,en,3450,True,scraped/10tons.com.txt,english_only/10tons.com.txt
110.fi,en,69,True,scraped/110.fi.txt,english_only/110.fi.txt
1188.fi,fi,46,False,scraped/1188.fi.txt,
12kuukautta.com,blocked,51,False,scraped/12kuukautta.com.txt,
131abarth.com,en,362,True,scraped/131abarth.com.txt,english_only/131abarth.com.txt
16100.fi,fi,1931,False,scraped/16100.fi.txt,
16juin.com,en,126,True,scraped/16juin.com.txt,english_only/16juin.com.txt
1702.fi,fi,1105,False,scraped/1702.fi.txt,
1769.fi,en,574,True,scraped/1769.fi.txt,english_only/1769.fi.txt
18wheels.fi,en,68,True,scraped/18wheels.fi.txt,english_only/18wheels.fi.txt
1917.fi,en,214,True,scraped/1917.fi.txt,english_only/1917.fi.txt
1accounting.fi,fi,964,False,scraped/1accounting.fi.txt,
1bar.fi,fi,63,False,scraped/1bar.fi.txt,
1hannuttjarvinen.fi,fi,88,False,scraped/1hannuttjarvinen.fi.txt,
1hk.fi,fi,1511,False,scraped/1hk.fi.txt,
1it.fi,fi,1164,False,scraped/1it.fi.txt,
1kkunat.fi,fi,4334,False,scraped/1kkunat.fi.txt,
1m2.fi,blocked,51,False,scraped/1m2.fi.txt,
1office.fi,en,14218,True,scraped/1office.fi.txt,english_only/1office.fi.txt
1point21.fi,fi,1497,False,scraped/1point21.fi.txt,
1r.fi,blocked,51,False,scraped/1r.fi.txt,
1rent.fi,fi,586,False,scraped/1rent.fi.txt,
1set.fi,fi,8119,False,scraped/1set.fi.txt,
1stopgrp.com,en,2423,True,scraped/1stopgrp.com.txt,english_only/1stopgrp.com.txt
1sttimeracing.fi,blocked,51,False,scraped/1sttimeracing.fi.txt,
1tili.fi,en,68,True,scraped/1tili.fi.txt,english_only/1tili.fi.txt
2020group.fi,fi,88,False,scraped/2020group.fi.txt,
20jalkaa.com,fi,695,False,scraped/20jalkaa.com.txt,
20rooms.fi,blocked,51,False,scraped/20rooms.fi.txt,
23knots.com,en,225,True,scraped/23knots.com.txt,english_only/23knots.com.txt
247company.fi,fi,510,False,scraped/247company.fi.txt,
247eristys.fi,en,50,True,scraped/247eristys.fi.txt,english_only/247eristys.fi.txt
24apps.online,fi,1233,False,scraped/24apps.online.txt,
24center.fi,fi,4995,False,scraped/24center.fi.txt,
24hinaus.fi,blocked,51,False,scraped/24hinaus.fi.txt,
24housing.com,fi,5859,False,scraped/24housing.com.txt,
24i.com,en,835,True,scraped/24i.com.txt,english_only/24i.com.txt
24k.fi,fi,2022,False,scraped/24k.fi.txt,
24pesula.fi,fi,145,False,scraped/24pesula.fi.txt,
24rent.fi,fi,2720,False,scraped/24rent.fi.txt,
24safety.fi,fi,296,False,scraped/24safety.fi.txt,
24varasto.fi,fi,979,False,scraped/24varasto.fi.txt,
2727350.fi,fi,2232,False,scraped/2727350.fi.txt,
27crags.com,en,25251,True,scraped/27crags.com.txt,english_only/27crags.com.txt
2degrees.fi,en,785,True,scraped/2degrees.fi.txt,english_only/2degrees.fi.txt
2dsfinland.fi,en,4944,True,scraped/2dsfinland.fi.txt,english_only/2dsfinland.fi.txt
2fastblade.com,fi,483,False,scraped/2fastblade.com.txt,
2four1.fi,en,48,True,scraped/2four1.fi.txt,english_only/2four1.fi.txt
2kindminds.fi,en,10107,True,scraped/2kindminds.fi.txt,english_only/2kindminds.fi.txt
2lm.fi,blocked,51,False,scraped/2lm.fi.txt,
2loops.fi,fi,616,False,scraped/2loops.fi.txt,
2nd-insight.com,fi,2356,False,scraped/2nd-insight.com.txt,
2ndfeet.store,fi,88,False,scraped/2ndfeet.store.txt,
2ndgeneration.fi,fi,2484,False,scraped/2ndgeneration.fi.txt,
2ndhomes.fi,fi,370,False,scraped/2ndhomes.fi.txt,
2ndserve.pro,en,266,True,scraped/2ndserve.pro.txt,english_only/2ndserve.pro.txt
2ns.fi,fi,744,False,scraped/2ns.fi.txt,
2sides.biz,en,51,True,scraped/2sides.biz.txt,english_only/2sides.biz.txt
2ssports.fi,blocked,51,False,scraped/2ssports.fi.txt,
2upgolfagency.com,en,2401,True,scraped/2upgolfagency.com.txt,english_only/2upgolfagency.com.txt
2xconsulting.fi,en,1581,True,scraped/2xconsulting.fi.txt,english_only/2xconsulting.fi.txt
2xdevelopment.fi,fi,101,False,scraped/2xdevelopment.fi.txt,
30neli_t_.fi,blocked,51,False,scraped/30neli_t_.fi.txt,
316.fi,blocked,51,False,scraped/316.fi.txt,
31holidays.com,en,167,True,scraped/31holidays.com.txt,english_only/31holidays.com.txt
321palvelut.fi,fi,917,False,scraped/321palvelut.fi.txt,
325media.net,fi,1036,False,scraped/325media.net.txt,
33rpm.fi,blocked,51,False,scraped/33rpm.fi.txt,
33tech.fi,blocked,51,False,scraped/33tech.fi.txt,
358.fi,en,346,True,scraped/358.fi.txt,english_only/358.fi.txt
360astetta.com,short,14,False,scraped/360astetta.com.txt,
360finland.fi,fi,622,False,scraped/360finland.fi.txt,
360kuvapalvelu.fi,fi,244,False,scraped/360kuvapalvelu.fi.txt,
360palvelut.fi,blocked,51,False,scraped/360palvelut.fi.txt,
360solutions.fi,fi,235,False,scraped/360solutions.fi.txt,
360swim.com,en,1191,True,scraped/360swim.com.txt,english_only/360swim.com.txt
365-kiinteistokeskus.fi,fi,1612,False,scraped/365-kiinteistokeskus.fi.txt,
38service.fi,fi,544,False,scraped/38service.fi.txt,
3aservice.fi,fi,4127,False,scraped/3aservice.fi.txt,
3awater.com,en,2975,True,scraped/3awater.com.txt,english_only/3awater.com.txt
3d.fi,en,1580,True,scraped/3d.fi.txt,english_only/3d.fi.txt
3dconsulting.fi,en,89,True,scraped/3dconsulting.fi.txt,english_only/3dconsulting.fi.txt
3dee.fi,blocked,51,False,scraped/3dee.fi.txt,
3dfarmi.fi,fi,1423,False,scraped/3dfarmi.fi.txt,
3dhacklin.com,blocked,51,False,scraped/3dhacklin.com.txt,
3digital.fi,fi,132,False,scraped/3digital.fi.txt,
3dkauppa.com,fi,2710,False,scraped/3dkauppa.com.txt,
3dkoppi.fi,fi,1817,False,scraped/3dkoppi.fi.txt,
3dolli.fi,fi,1173,False,scraped/3dolli.fi.txt,
3dprinno.fi,fi,248,False,scraped/3dprinno.fi.txt,
3dprintingfarm.fi,en,33,True,scraped/3dprintingfarm.fi.txt,english_only/3dprintingfarm.fi.txt
3dsolidi.com,fi,45,False,scraped/3dsolidi.com.txt,
3dstep.fi,fi,1679,False,scraped/3dstep.fi.txt,
3dtalo.fi,fi,3597,False,scraped/3dtalo.fi.txt,
3dtech.fi,fi,1263,False,scraped/3dtech.fi.txt,
