domain,path,chars,bytes,words,lines
1001lakes.com,english_only/1001lakes.com.txt,1766,1766,257,17
1090fishingmapp.com,english_only/1090fishingmapp.com.txt,1129,1129,179,24
10h.com,english_only/10h.com.txt,1371,1373,230,14
10sportsmarketinghub.com,english_only/10sportsmarketinghub.com.txt,8624,8723,1376,202
10tons.com,english_only/10tons.com.txt,3450,3484,530,30
110.fi,english_only/110.fi.txt,69,69,12,2
131abarth.com,english_only/131abarth.com.txt,362,362,66,3
16juin.com,english_only/16juin.com.txt,126,126,18,2
1769.fi,english_only/1769.fi.txt,574,574,88,9
18wheels.fi,english_only/18wheels.fi.txt,68,68,7,1
1917.fi,english_only/1917.fi.txt,214,214,43,5
1office.fi,english_only/1office.fi.txt,14218,14286,2086,98
1stopgrp.com,english_only/1stopgrp.com.txt,2423,2427,315,31
1tili.fi,english_only/1tili.fi.txt,68,68,7,1
23knots.com,english_only/23knots.com.txt,225,225,43,14
247eristys.fi,english_only/247eristys.fi.txt,50,50,8,1
24i.com,english_only/24i.com.txt,835,835,113,15
27crags.com,english_only/27crags.com.txt,25251,25346,4147,177
2degrees.fi,english_only/2degrees.fi.txt,785,787,119,4
2dsfinland.fi,english_only/2dsfinland.fi.txt,4944,4964,651,78
2four1.fi,english_only/2four1.fi.txt,48,48,8,2
2kindminds.fi,english_only/2kindminds.fi.txt,10107,10116,1680,72
2ndserve.pro,english_only/2ndserve.pro.txt,266,270,48,4
2sides.biz,english_only/2sides.biz.txt,51,51,8,2
2upgolfagency.com,english_only/2upgolfagency.com.txt,2401,2435,394,22
2xconsulting.fi,english_only/2xconsulting.fi.txt,1581,1597,218,44
31holidays.com,english_only/31holidays.com.txt,167,195,19,8
358.fi,english_only/358.fi.txt,346,346,58,5
360swim.com,english_only/360swim.com.txt,1191,1191,210,18
3awater.com,english_only/3awater.com.txt,2975,2989,430,31
3d.fi,english_only/3d.fi.txt,1580,1580,254,27
3dconsulting.fi,english_only/3dconsulting.fi.txt,89,89,17,1
3dprintingfarm.fi,english_only/3dprintingfarm.fi.txt,33,33,6,1
3hd.fi,english_only/3hd.fi.txt,1372,1393,185,13
3horisontti.com,english_only/3horisontti.com.txt,1774,1792,302,24
3ptransportation.fi,english_only/3ptransportation.fi.txt,7422,7576,1272,82
3stepit.com,english_only/3stepit.com.txt,1910,1922,284,32
3tscapital.com,english_only/3tscapital.com.txt,624,624,90,6
404visio.fi,english_only/404visio.fi.txt,50,50,8,2
490.fi,english_only/490.fi.txt,803,804,120,8
4dbarn.com,english_only/4dbarn.com.txt,242,242,40,2
4front.fi,english_only/4front.fi.txt,385,385,49,3
4kaad.com,english_only/4kaad.com.txt,1548,1550,214,27
4kids.fi,english_only/4kids.fi.txt,27,31,6,2
4learning.fi,english_only/4learning.fi.txt,1767,1767,223,7
4straction.com,english_only/4straction.com.txt,1467,1485,243,7
4ts.com,english_only/4ts.com.txt,861,861,135,7
4uprofit.fi,english_only/4uprofit.fi.txt,239,239,41,3
4x4parts.fi,english_only/4x4parts.fi.txt,980,986,159,17
5thwavebrands.com,english_only/5thwavebrands.com.txt,3248,3252,448,25
61north.fi,english_only/61north.fi.txt,26,26,6,2
62north.net,english_only/62north.net.txt,671,684,94,15
67pictures.com,english_only/67pictures.com.txt,278,278,42,5
69tattoo.com,english_only/69tattoo.com.txt,91,151,10,1
6dtape.com,english_only/6dtape.com.txt,4064,4079,664,27
73health.fi,english_only/73health.fi.txt,4480,4536,702,48
75pharmagroup.com,english_only/75pharmagroup.com.txt,3473,3477,541,38
7ense.fi,english_only/7ense.fi.txt,74,74,12,4
7n.com,english_only/7n.com.txt,828,828,127,17
8-bit-sheep.com,english_only/8-bit-sheep.com.txt,20036,20072,3011,225
8raita.fi,english_only/8raita.fi.txt,4612,4745,746,103
8wave.ai,english_only/8wave.ai.txt,6012,6022,954,89
a-cx.com,english_only/a-cx.com.txt,1284,1286,197,22
a-kumppanit.fi,english_only/a-kumppanit.fi.txt,87,87,15,2
a-rakennusniemela.fi,english_only/a-rakennusniemela.fi.txt,223,223,37,4
a110p.com,english_only/a110p.com.txt,2476,2533,415,56
a1ayn.com,english_only/a1ayn.com.txt,455,455,75,3
aa-r.fi,english_only/aa-r.fi.txt,1647,1653,234,10
aaaaec.fi,english_only/aaaaec.fi.txt,423,425,69,3
aagahoiva.com,english_only/aagahoiva.com.txt,74,74,12,4
aalaw.fi,english_only/aalaw.fi.txt,1627,1644,233,35
aalbun.com,english_only/aalbun.com.txt,2513,2513,374,36
aallokko.pro,english_only/aallokko.pro.txt,6115,6115,835,48
aallongroup.fi,english_only/aallongroup.fi.txt,371,371,67,5
aaltocapital.com,english_only/aaltocapital.com.txt,4614,4623,694,38
aaltojuomat.com,english_only/aaltojuomat.com.txt,2783,2926,515,111
aaniahjo.fi,english_only/aaniahjo.fi.txt,74,74,12,4
aanivoimala.fi,english_only/aanivoimala.fi.txt,2623,2642,357,23
aardsoft.fi,english_only/aardsoft.fi.txt,887,887,133,8
aarniooriginals.com,english_only/aarniooriginals.com.txt,143,143,25,5
aarnivisuals.com,english_only/aarnivisuals.com.txt,462,463,64,11
aarnkari.fi,english_only/aarnkari.fi.txt,90,90,16,2
aarnkor.fi,english_only/aarnkor.fi.txt,243,243,41,4
aaronhakso.com,english_only/aaronhakso.com.txt,2641,2719,422,31
aashvi.net,english_only/aashvi.net.txt,3716,3740,468,49
aatcreative.fi,english_only/aatcreative.fi.txt,868,869,137,14
aateo.com,english_only/aateo.com.txt,1794,1794,277,38
aatio.fi,english_only/aatio.fi.txt,182,182,28,3
aatos.fi,english_only/aatos.fi.txt,115,116,18,4
aatos.net,english_only/aatos.net.txt,74,74,12,4
aatoseditions.com,english_only/aatoseditions.com.txt,401,405,64,3
aavalevi.fi,english_only/aavalevi.fi.txt,11859,11949,1711,102
aavamobile.com,english_only/aavamobile.com.txt,1218,1220,171,22
aavuus.com,english_only/aavuus.com.txt,2304,2308,347,33
aba.fi,english_only/aba.fi.txt,371,371,67,5
abacusmedicine.com,english_only/abacusmedicine.com.txt,1339,1339,201,31
abero.fi,english_only/abero.fi.txt,1288,1288,191,9
abhuskies.fi,english_only/abhuskies.fi.txt,88,90,15,2
abilitasgroup.com,english_only/abilitasgroup.com.txt,855,861,130,13
abilitycrew.fi,english_only/abilitycrew.fi.txt,185,185,30,12
abillion.eu,english_only/abillion.eu.txt,478,478,63,3
aboa-advest.fi,english_only/aboa-advest.fi.txt,3881,3915,618,25
abracagrowth.com,english_only/abracagrowth.com.txt,5024,5044,717,57
absolute-north.com,english_only/absolute-north.com.txt,102,102,14,3
ac.fi,english_only/ac.fi.txt,107,107,11,3
acacia.fi,english_only/acacia.fi.txt,214,214,43,5
academicbusinessconsulting.fi,english_only/academicbusinessconsulting.fi.txt,608,612,89,9
acc3ss.fi,english_only/acc3ss.fi.txt,99,99,20,2
accelta.fi,english_only/accelta.fi.txt,49,49,8,2
accesslapland.com,english_only/accesslapland.com.txt,1592,1600,239,21
accesspartners.com,english_only/accesspartners.com.txt,10896,10922,1521,123
accolade.fi,english_only/accolade.fi.txt,1477,1481,196,21
accounta.fi,english_only/accounta.fi.txt,1288,1288,191,9
acemanofficial.com,english_only/acemanofficial.com.txt,76,76,10,3
acera.fi,english_only/acera.fi.txt,518,518,88,7
aclassum.com,english_only/aclassum.com.txt,733,737,105,8
acm.partners,english_only/acm.partners.txt,4204,4240,656,153
