domain,Char_clean,Words_clean,Tokens
1001lakes.com,1721,257,273
1090fishingmapp.com,1077,174,198
10h.com,1270,236,246
10sportsmarketinghub.com,8089,1360,1435
10tons.com,3175,494,605
110.fi,35,5,5
131abarth.com,345,66,70
16juin.com,122,18,19
1769.fi,554,85,87
18wheels.fi,37,8,8
1917.fi,202,39,41
1office.fi,13903,2111,2233
1stopgrp.com,2304,312,343
1tili.fi,46,10,12
23knots.com,190,30,33
247eristys.fi,49,9,9
24i.com,817,119,123
27crags.com,24551,4172,5002
2degrees.fi,774,122,127
2dsfinland.fi,4716,692,758
2four1.fi,29,6,6
2kindminds.fi,9876,1677,1710
2ndserve.pro,254,46,48
2sides.biz,47,7,12
2upgolfagency.com,2207,374,411
2xconsulting.fi,1468,205,217
31holidays.com,61,10,12
358.fi,334,59,60
360swim.com,1145,210,211
3awater.com,2882,426,439
3d.fi,1531,257,275
3dconsulting.fi,89,17,17
3dprintingfarm.fi,32,6,6
3hd.fi,1301,189,338
3horisontti.com,1705,294,305
3ptransportation.fi,6889,1166,1251
3stepit.com,1849,281,290
3tscapital.com,602,90,102
404visio.fi,29,6,6
490.fi,764,119,126
4dbarn.com,226,38,40
4front.fi,375,52,52
4kaad.com,1499,221,249
4kids.fi,22,4,4
4learning.fi,1735,234,243
4straction.com,1438,248,252
4ts.com,833,138,141
4uprofit.fi,234,41,45
4x4parts.fi,957,163,167
5thwavebrands.com,3188,451,462
61north.fi,26,6,6
62north.net,639,96,121
67pictures.com,273,42,45
69tattoo.com,40,7,10
6dtape.com,3937,676,710
73health.fi,4226,696,735
75pharmagroup.com,3366,568,599
7ense.fi,71,13,13
7n.com,808,127,128
8-bit-sheep.com,19368,3068,3515
8raita.fi,3955,632,925
8wave.ai,5772,907,980
a-cx.com,1235,199,200
a-kumppanit.fi,86,16,16
a-rakennusniemela.fi,218,37,37
a110p.com,2351,405,432
a1ayn.com,430,75,82
aa-r.fi,1562,230,254
aaaaec.fi,410,70,71
aagahoiva.com,71,13,13
aalaw.fi,1461,226,274
aalbun.com,2416,373,385
aallokko.pro,5150,808,914
aallongroup.fi,355,64,67
aaltocapital.com,4320,700,775
aaltojuomat.com,1752,283,514
aaniahjo.fi,71,13,13
aanivoimala.fi,2504,359,570
aardsoft.fi,865,129,130
aarniooriginals.com,141,25,27
aarnivisuals.com,427,60,84
aarnkari.fi,87,16,16
aarnkor.fi,237,41,41
aaronhakso.com,2504,394,601
aashvi.net,3597,488,521
aatcreative.fi,812,131,170
aateo.com,1712,254,286
aatio.fi,180,29,30
aatos.fi,90,11,15
aatos.net,71,13,13
aatoseditions.com,383,63,75
aavalevi.fi,11418,1882,2159
aavamobile.com,1184,172,193
aavuus.com,2247,351,368
aba.fi,355,64,67
abacusmedicine.com,1246,191,198
abero.fi,1266,192,192
abhuskies.fi,85,16,16
abilitasgroup.com,824,128,135
abilitycrew.fi,185,30,30
abillion.eu,446,61,69
aboa-advest.fi,3728,609,650
abracagrowth.com,4931,730,767
absolute-north.com,100,14,14
ac.fi,46,8,8
acacia.fi,202,39,41
academicbusinessconsulting.fi,544,85,94
acc3ss.fi,93,19,19
accelta.fi,29,6,6
accesslapland.com,1545,232,252
accesspartners.com,9822,1521,1721
accolade.fi,1461,203,228
accounta.fi,1266,192,195
acemanofficial.com,74,10,19
acera.fi,472,84,89
aclassum.com,665,95,104
acm.partners,3878,601,650
acmesports.com,52,9,9
acrelec.com,384,58,60
across-projects.com,5206,757,888
acti.one,103,14,15
actionreactiongames.com,454,80,81
actionsquadstudios.com,172,33,55
activeboard.com,199,39,39
activebrands.com,23,3,3
activefamily.fi,32,6,6
activeholidayfinland.com,457,83,93
activesoft.fi,1459,263,270
actiw.com,363,55,58
acubiocare.com,44,8,11
adalaw.fi,147,28,28
adalia.fi,2369,321,330
adamdetredesigns.com,713,137,141
addcomposites.com,7606,1125,1302
addnow.app,28,5,5
addsearch.com,13558,2181,2471
addsecure.com,395,61,63
adefine.fi,138,25,25
adeialaw.fi,292,50,52
adeprimo.se,757,108,128
adeptlyworks.com,1372,208,220
adesso-nordics.fi,887,131,134
adiabatix.fi,4044,613,784
adimo.fi,32,6,6
adivine.fi,853,114,227
adjutec.fi,173,26,26
adlc.fi,129,23,37
adlearning.com,181,22,24
adlibris.fi,28,5,5
adlight.fi,2423,407,425
admares.com,4125,601,626
admescope.com,783,109,130
adminlabs.com,643,111,119
adminpartners.fi,155,25,27
adnami.io,1768,267,298
adolfasiancuisine.com,87,16,16
adoy.fi,227,42,42
adsotech.com,620,105,108
adstein.fi,52,11,11
adtran.com,339,46,51
adunosolutions.com,454,80,81
advafab.com,53,9,9
advanceb2b.com,83,14,15
advcode.fi,69,11,19
advectus.com,52,9,9
advenica.fi,129,19,21
adventureapes.fi,7280,1143,1398
adventureclub.io,1079,158,168
adversarynordic.com,3631,548,580
advicera.org,1847,236,252
advisense.com,526,76,79
advo.fi,32,6,6
adwise.fi,1459,263,270
aecmaster.com,442,71,73
aeftrade.eu,1765,287,331
aegroup.fi,3741,560,657
aekostrading.com,52,7,8
aema.fi,2393,354,380
aepartners.fi,32,6,6
aeraquasolutions.com,75,14,16
aerocom.fi,544,78,82
aeromon.io,2503,361,388
aeropole.fi,1178,213,245
aetlan.com,404,53,57
aevelabel.com,249,40,42
afekta.com,2652,410,470
affine.pro,2063,319,335
affixlabs.com,4366,687,766
affixscaffolding.eu,22,5,5
affreport.com,52,9,9
afri-nordicconnect.com,266,42,44
africanharbour.com,767,111,117
afry.com,392,53,58
afterdawn.com,51398,7340,7646
ag-partners.fi,31,6,6
agatesensors.com,1796,247,266
agc-glass.eu,1051,153,164
agencyicon.com,512,78,81
agencyleroy.com,1188,174,180
agenthuset.com,22,4,4
agentpekka.com,322,48,65
agentsavanna.ai,81,13,15
agentshell.fi,4032,605,641
agilearmour.com,1588,239,271
agilecraft.fi,1056,180,181
agileday.com,1381,209,220
agiledev.group,5061,745,788
agilent.fi,16,3,4
aginotes.com,1227,206,227
agion.dev,3485,546,607
agisol.fi,617,85,85
agrikumppanit.fi,318,49,53
ahaahelsinki.fi,2758,442,486
ahjofintek.fi,3687,521,552
ahlgrens.fi,1929,322,358
ahlskog.fi,180,29,30
ahlsport.com,1637,274,294
ahlstromcapital.com,538,90,107
ahtcon.fi,179,30,30
ahticonsulting.com,1312,205,227
ai-priori.com,631,108,118
aiatella.com,184,28,28
aiben.io,4702,707,757
aibidia.com,463,74,76
aicando.fi,1067,157,176
aicci.fi,162,22,27
aico.ai,214,30,35
aicontentfy.com,570,87,94
aicustomerhelp.com,157,27,29
aidasolutions.fi,2428,384,402
aiddo.fi,225,37,37
aidertech.com,167,23,29
aidine.fi,1655,246,254
aidrax.fi,943,136,144
aifabrix.ai,5442,785,839
aigis.fi,29,6,6
aigol.eu,807,113,124
aii.fi,316,53,54
aikagroup.com,814,112,122
