domain,path,chars,bytes,words,lines
014-kuljetus.fi,scraped/014-kuljetus.fi.txt,879,905,84,15
020202.fi,scraped/020202.fi.txt,2656,2746,329,27
07design.fi,scraped/07design.fi.txt,51,51,8,1
100-ilmastointi.fi,scraped/100-ilmastointi.fi.txt,3536,3683,383,27
1000lakesdistillery.com,scraped/1000lakesdistillery.com.txt,933,959,92,25
1001lakes.com,scraped/1001lakes.com.txt,1766,1766,257,17
100a-sport.fi,scraped/100a-sport.fi.txt,71,71,8,2
100sahko.fi,scraped/100sahko.fi.txt,51,51,8,1
100solutions.fi,scraped/100solutions.fi.txt,51,51,8,1
105dancecomplexkotka.com,scraped/105dancecomplexkotka.com.txt,1160,1197,135,17
1080coaching.com,scraped/1080coaching.com.txt,3052,3162,334,24
1090fishingmapp.com,scraped/1090fishingmapp.com.txt,1129,1129,179,24
10h.com,scraped/10h.com.txt,1371,1373,230,14
10hinaus.fi,scraped/10hinaus.fi.txt,51,51,8,1
10sportsmarketinghub.com,scraped/10sportsmarketinghub.com.txt,8624,8723,1376,202
10tons.com,scraped/10tons.com.txt,3450,3484,530,30
110.fi,scraped/110.fi.txt,69,69,12,2
1188.fi,scraped/1188.fi.txt,46,49,6,3
12kuukautta.com,scraped/12kuukautta.com.txt,51,51,8,1
131abarth.com,scraped/131abarth.com.txt,362,362,66,3
16100.fi,scraped/16100.fi.txt,1931,1988,218,26
16juin.com,scraped/16juin.com.txt,126,126,18,2
1702.fi,scraped/1702.fi.txt,1105,1135,125,31
1769.fi,scraped/1769.fi.txt,574,574,88,9
18wheels.fi,scraped/18wheels.fi.txt,68,68,7,1
1917.fi,scraped/1917.fi.txt,214,214,43,5
1accounting.fi,scraped/1accounting.fi.txt,964,988,98,5
1bar.fi,scraped/1bar.fi.txt,63,69,8,1
1hannuttjarvinen.fi,scraped/1hannuttjarvinen.fi.txt,88,90,13,2
1hk.fi,scraped/1hk.fi.txt,1511,1572,160,21
1it.fi,scraped/1it.fi.txt,1164,1218,134,17
1kkunat.fi,scraped/1kkunat.fi.txt,4334,4573,502,57
1m2.fi,scraped/1m2.fi.txt,51,51,8,1
1office.fi,scraped/1office.fi.txt,14218,14286,2086,98
1point21.fi,scraped/1point21.fi.txt,1497,1587,160,16
1r.fi,scraped/1r.fi.txt,51,51,8,1
1rent.fi,scraped/1rent.fi.txt,586,596,66,8
1set.fi,scraped/1set.fi.txt,8119,8359,936,111
1stopgrp.com,scraped/1stopgrp.com.txt,2423,2427,315,31
1sttimeracing.fi,scraped/1sttimeracing.fi.txt,51,51,8,1
1tili.fi,scraped/1tili.fi.txt,68,68,7,1
2020group.fi,scraped/2020group.fi.txt,88,90,13,2
20jalkaa.com,scraped/20jalkaa.com.txt,695,721,86,6
